state|city|latitude|longitude|summary|success|suicide|attack_type|target_type|target|group_name|motive|weapon_type|weapon_detail|property_damage|property_comment|date
New York|New York City|40.697132|-73.931351|05/20/2013: A letter containing ricin was mailed to the Mayor of New York City, Michael Bloomberg, in New York City, United States. The letter caused no injuries as it was intercepted before it could reach Bloomberg. The letter, which was one of three sent to pro-gun control political and social figures on May 20, 2013, warned of future attacks if Bloomberg and other gun control advocates pursued legislation to limit gun ownership. Shannon Richardson, an American television actress, was arrested on June 7, 2013 in connection with the attack.|0|0|Unarmed Assault|Politician or Political Party Movement/Meeting/Rally|Mayor: Michael Bloomberg|Anti-Gun Control extremists|Sources stated that the letters contained anti-gun control rhetoric in their message and threatened future attacks if gun control legislation was pursued.||Ricin in a letter was used in the attack.|||2013-05-20
New Hampshire|Manchester|42.995673|-71.454741|07/25/2013: Assailants vandalized the Islamic Society of Great Manchester Mosque and attempted to set it on fire in Manchester, New Hampshire, United States. There were no reported casualties in the attack. Two assailants, identifed as anti-Muslim extremists, claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Mosque|Anti-Muslim extremists||Arson/Fire|Fire, rocks, and bricks were used in the attack.|Minor (likely < $1 million)|A mosque was damaged in this attack.|2013-07-25
Oregon|Portland|45.545339|-122.661681|08/08/2013: Assailants set fire to an apartment building in Portland, Oregon, United States. There were no reported casualties. Students For Insurrection claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|House/Apartment/Residence|Apartment Complex|Students For Insurrection||Arson/Fire||Minor (likely < $1 million)|An apartment building was damaged in this attack.|2013-08-08
Oregon|Coos Bay|43.366501|-124.21789|08/22/2013: An explosive device placed near the Mingus Park Vietnam War Memorial detonated in Coos Bay, Oregon, United States. No one was injured in the blast and it is unknown if the memorial was damaged. Veterans for Non-Religious Memorials claimed responsibility for the incident. The group stated that they were against the existence of religious memorials and felt that they were offensive toward non-Christian families.|1|0|Bombing/Explosion|Memorial/Cemetery/Monument|Vietnam War Memorial Cross|Veterans United for Non-Religious Memorials||Unknown Explosive Type||Unknown|Unspecified property was damaged in this attack|2013-08-22
Oregon|Coos Bay|43.375245|-124.22499599999999|09/03/2013: An explosive device was discovered and defused at The Prayer Chapel in Coos Bay, Oregon, United States. Veterans United for Non-Religious Memorials claimed responsibility for the incident|0|0|Bombing/Explosion|Place of Worship|Chapel|Veterans United for Non-Religious Memorials||Unknown Explosive Type||||2013-09-03
Missouri|Joplin|37.083284|-94.502838|10/03/2013: An assailant attempted to set fire to a Planned Parenthood Federation of America clinic in Joplin, Missouri, United States. There were no reported casualties in the attack. An individual, identified as Jedediah Stout, claimed responsibility for the incident.|0|0|Facility/Infrastructure Attack|Clinics|Clinic|Anti-Abortion extremists|Jedediah Stout, an unaffiliated individual, claimed responsibility for the incident and stated that he targeted the mosque because he was opposed to abortion.|Arson/Fire||||2013-10-03
Missouri|Joplin|37.083284|-94.502838|10/04/2013: An assailant attempted to set fire to a Planned Parenthood Federation of America clinic in Joplin, Missouri, United States. There were no reported casualties in the attack. An individual, identified as Jedediah Stout, claimed responsibility for the incident.|0|0|Facility/Infrastructure Attack|Clinics|Clinic|Anti-Abortion extremists|Jedediah Stout, an unaffiliated individual, claimed responsibility for the incident and stated that he targeted the mosque because he was opposed to abortion.|Arson/Fire||||2013-10-04
California|Los Angeles|34.097865999999996|-118.407379|11/01/2013: An assailant opened fire on Transportation Security Administration (TSA) agents inside Terminal 3 at Los Angeles International Airport (LAX) in Los Angeles, California, United States. At least one agent was killed and four others, including agents and civilians, were wounded in the assault. TSA agents returned fire and injured the assailant. Paul Ciancia claimed responsibility for the incident, stating, in a note found in his apartment, that he wanted to kill and to instill fear in TSA officers.|1|0|Armed Assault|Airport|Terminal 3|Anti-Government extremists|Paul Ciancia claimed responsibility for the incident and stated that he wanted to instill fear on Transportation Security Administration (TSA) officers.|Automatic or Semi-Automatic Rifle|A .223 caliber assault rifle and a handgun were used in the attack.||It is unknown if any property was damaged in this attack.|2013-11-01
Mississippi|Hattiesburg|31.32747|-89.327765|03/18/2014: Assailants opened fire on the Hattiesburg Islamic Center in Hattiesburg, Mississippi, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Armed Assault|Place of Worship|Mosque|Unknown||Unknown Gun Type||Minor (likely < $1 million)|An unknown number of doors and windows were damaged in this attack.|2014-03-18
Illinois|Orland Park|41.630557|-87.854074|03/25/2014: Assailants opened fire on the dome of the Orland Park Prayer Center in Orland Park, Illinois, United States. No casualties were reported. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Mosque|Unknown||Unknown Gun Type||Minor (likely < $1 million)|The dome of a mosque was damaged in this attack.|2014-03-25
Nevada|Bunkerville|36.7684|-114.1281|04/12/2014: Several hundred anti-government militia members engaged in an armed standoff with federal and local law enforcement officials near Bunkerville, Nevada, United States. The standoff took place against the backdrop of a years-long dispute over cattle grazing rights and federal government jurisdiction between the Bureau of Land Management (BLM) and rancher Cliven Bundy. Militia members and demonstrators armed with firearms including AR-15 and AK-47 rifles took aim at BLM officers overseeing the seizure of Bundy's cattle. They made anti-government statements on camera and posted online. At least two participants were convicted of charges related to threatening, intimidating, and assaulting federal law enforcement officers. No casualties were reported; however, BLM ended the round-up and released the cattle due to concerns about the safety of officers and the public.|1|0|Armed Assault|Government Personnel (excluding police, military)|Officers overseeing cattle round-up|Anti-Government extremists||Automatic or Semi-Automatic Rifle|Firearms included AR-15s and AK-47s.|||2014-04-12
Kansas|Overland Park|38.982228000000006|-94.670792|04/13/2014: An assailant opened fire on civilians outside a Jewish community center in Overland Park, Kansas, United States. At least two people were killed in the assault. This was one of two attacks carried out by the same assailant within a few minutes. Frazier Glenn Cross claimed responsibility for the incidents and stated that he intended to target members of the Jewish community.|1|0|Armed Assault|Affiliated Institution|Community Center|White extremists|An unaffiliated individual, identified as Frazier Glenn Cross, claimed responsibility for the incident and stated that he intended to target members of the Jewish community in the attack.|Handgun|A Remington 870 shotgun and a handgun were used in the attack.|||2014-04-13
Kansas|Overland Park|38.982228000000006|-94.670792|04/13/2014: An assailant opened fire on civilians outside a Jewish retirement home in Overland Park, Kansas, United States. At least one person was killed in the assault. This was one of two attacks carried out by the same assailant within a few minutes. Frazier Glenn Cross claimed responsibility for the incidents and stated that he intended to target members of the Jewish community.|1|0|Armed Assault|Affiliated Institution|Jewish Retirement Home|White extremists|An unaffiliated individual, identified as Frazier Glenn Cross, claimed responsibility for the incident and stated that he intended to target members of the Jewish community in the attack.|Handgun|A Remington model 870 shotgun and a handgun were used in the attack.|||2014-04-13
Washington|Seattle|47.610786|-122.33130600000001|04/27/2014: An assailant shot and killed a civilian, Leroy Henderson in Skyway neighborhood, Seattle, Washington, United States. Prosecutors later indicted Ali Muhammad Brown for the murder of Henderson. Authorities claim that Brown committed the act to punish the United States for its involvement in Iraq and Afghanistan. Brown has been indicted on murder charges for two similar attacks that occurred in Washington and New Jersey in 2014.|1|0|Armed Assault|Named Civilian|Civilian: Leroy Henderson|Jihadi-inspired extremists|Ali Muhammad Brown claimed responsibility for the incident and stated later, at his trial, that the attacks were in response to the foreign policy decisions made by the United States.|Unknown Gun Type||||2014-04-27
West Virginia|Weirton|40.40803|-80.588972|05/05/2014: Three explosive devices were discovered and safely detonated around the Weirton Municipal Building in Weirton, West Virginia, United States. One of the devices was planted underneath a Weirton Police vehicle. An individual, David Patterson, claimed responsibility for the incident.|0|0|Bombing/Explosion|Government Building/Facility/Office|Municipal Building|Anti-Government extremists|"An unafiliated individual, identified as David Patterson, claimed repsonsibility for the incident and stated that he was unhappy with the government and ""wanted a shootout with the FBI."""|Explosive|Three explosive bottles constructed out of soda bottles and cleaning chemicals were used in the attack.|||2014-05-05
California|Isla Vista|34.411929|-119.858282|"05/23/2014: An assailant, identified as Elliot Rodger, stabbed and killed his two roommates and a visitor inside their apartment in Isla Vista, California, United States. This was one of two coordinated incidents carried out by the same assailant in Isla Vista on the same day. Rodger posted videos on the internet and wrote a lengthy manifesto detailing his plans and motivations for the attack. His ideology reflected a misogynist and white supremacist narrative seen in online message forums where participants self-identify as ""involuntarily celibate"" (incel)."|1|0|Armed Assault|Named Civilian|"Civilians: Weihann ""David"" Wang, Cheng Yuan ""James"" Hong, George Chen"|Incel extremists|"An unaffiliated individual, identified as  Elliot Rodger, claimed responsibility for the incident and posted videos on the internet and wrote a lengthy manifesto detailing his plans and motivations for the attack. His ideology reflected a misogynist and white supremacist narrative seen in online message forums where participants self-identify as ""involuntarily celibate."""|Knife or Other Sharp Object|Knives were used in the attack.|||2014-05-23
California|Isla Vista|34.414238|-119.85534799999999|"05/23/2014: An assailant, identified as Elliot Rodger, drove several blocks to various locations near the University of California, Santa Barbara, campus, shooting at and running into victims with his car in Isla Vista, California, United States. At least three people were killed and 13 other people were injured in the assault. The attack ended when he shot and killed himself. This was one of two coordinated incidents carried out by the same assailant in Isla Vista on the same day. Rodger posted videos on the internet and wrote a lengthy manifesto detailing his plans and motivations for the attack. His ideology reflected a misogynist and white supremacist narrative seen in online message forums where participants self-identify as ""involuntarily celibate"" (incel)."|1|1|Armed Assault|Named Civilian|Named Civilians: Katherine Breann Cooper, Christopher Ross Michaels-Martinez, Veronika Elizabeth Weiss|Incel extremists|"An unaffiliated individual, identified as  Elliot Rodger, claimed responsibility for the incident and posted videos on the internet and wrote a lengthy manifesto detailing his plans and motivations for the attack. His ideology reflected a misogynist and white supremacist narrative seen in online message forums where participants self-identify as ""involuntarily celibate."""|Handgun|Glock 34 and SIG Sauer P226 handguns and a black BMW were used in the attack.|Minor (likely < $1 million)|A vehicle and shops were damaged in this attack.|2014-05-23
Washington|Seattle|47.610786|-122.33130600000001|06/01/2014: An assailant shot and killed two civilians in Seattle, Washington, United States. Prosecutors later indicted Ali Muhammad Brown for the murders of the two victims. Brown claimed responsibility for the incident, stating that he committed the act to punish the United States for its involvement in Iraq, Iran and Afghanistan. Brown has been indicted on murder charges for two similar attacks that occurred in Washington and New Jersey states in 2014.|1|0|Armed Assault|Named Civilian|Civilians: Ahmed Said, Dwone Anderson-Young|Jihadi-inspired extremists|Ali Muhammad Brown claimed responsibility for the incident and stated later, at his trial, that the attacks were in response to the foreign policy decisions made by the United States.|Unknown Gun Type||||2014-06-01
Georgia|Cumming|34.206408|-84.13969|06/06/2014: An assailant, identified as Dennis Marx, opened fire on the Forsyth County Courthouse in Cumming, Georgia, United States. In addition to handguns and an AR-15 rifle, Marx was armed with tire spikes, smoke bombs, homemade explosives, and grenades. Sheriff's Deputy Daniel Rush was injured in the attack and Marx was shot and killed by law enforcement officers before he was able to enter the courthouse. Marx self-identified as belonging to the Sovereign Citizen movement.|0|0|Bombing/Explosion|Judge/Attorney/Court|Courthouse|Sovereign Citizen|The specific motive is unknown; however, sources noted that the assailant, Dennis Marx, was scheduled to appear in court on gun and drug charges on the day of the attack.|Other Explosive Type|An Ar-15 automatic rifle, pistols, homemade explosives, smoke bombs and tire spikes were used in the attack.||It is unknown if a courthouse was damaged in this attack.|2014-06-06
Nevada|Las Vegas|36.211296000000004|-115.24753600000001|06/08/2014: Two assailants ambushed two police officers eating at a restaurant and attacked a nearby Walmart in Las Vegas, Nevada, United States. At least five people, including two officers, a bystander, and two assailants, were killed in the attack. Jerad and Amanda Miller claimed responsibility for the incident and proclaimed that the shooting had provoked a revolution against authority figures. On social media, the assailants also decried the federal government, taxes, and anti-gun laws.|1|0|Armed Assault|Police Security Forces/Officers|Officers: Alyn Beck, Igor Solo|Anti-Government extremists|The assailants, Jerad Miller and Amanda Miller, claimed responsibility for the incident and proclaimed that the shooting had provoked a revolution against authority figures.  Additionally, the assailants' social media posts indicated that they believed authority figures, including police officers, were akin to the Nazis and were suppressing the people.|Unknown Gun Type||Minor (likely < $1 million)|Weapons and ammunition were stolen in this attack.|2014-06-08
Arizona|Nogales|31.340042999999998|-110.935304|06/11/2014: An incendiary device ignited at a UniSource Energy Services power station in Nogales, Arizona, United States. There were no reported casualties; however, a diesel tank was damaged in the attack. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Electricity|Power Station|Unknown||Arson/Fire|A make-shift explosive device was used in the attack.|Minor (likely < $1 million)|A diesel tank was damaged in this attack.|2014-06-11
New Jersey|West Orange|40.798588|-74.238395|06/25/2014: Assailants shot and killed Brendan Tevlin as he was stopped at a traffic signal in West Orange, New Jersey, United States. Police later arrested three suspects, including Ali Muhammad Brown, in connection with the case. Authorities claim that Brown committed the act to punish the United States for its involvement in Iraq and Afghanistan. Brown has been indicted on murder charges in connection with two separate attacks that occurred earlier in the year in Skywalk and Seattle, which are both located in the state of Washington.|1|0|Armed Assault|Student|Student: Brendan Tevlin|Jihadi-inspired extremists|In his confession, Ali Muhammad Brown stated that the attack was in revenge for the United States' foreign policy actions.|Unknown Gun Type||Minor (likely < $1 million)|The victim's vehicle was damaged in this attack.|2014-06-25
Texas|Corinth|33.154070000000004|-97.06438100000001|08/11/2014: An assailant, identified as Douglas Leguin, opened fire on firefighters and police officers in Dallas, Texas, United States. Leguin, who was armed with an AK-47, propane tanks and bottles containing flammable liquid, approached and intended to occupy a residence with an eight-year-old girl and her nanny trapped inside. No casualties were reported. After an exchange of fire, Leguin was captured by police. Douglas Leguin, who identified as a member of Sovereign Citizen, claimed responsibility for the incident and stated that the attack was carried out in order to get citizens to vote.|1|0|Bombing/Explosion|Police Security Forces/Officers|Officers|Sovereign Citizen|Douglas Leguin, who identified as a member of Sovereign Citizen, claimed responsibility for the incident and stated that the attack was carried out in order to get citizens to vote.|Other Explosive Type|An AK-47 automatic rifle, jars of flammable liquid and propane tanks intended to explode when fired at were used in the attack.|Minor (likely < $1 million)|A firetruck was damaged in this attack.|2014-08-11
Missouri|Kansas City|39.176086|-94.574127|09/11/2014: An assailant threw two Molotov cocktails at the office of United States Congressman, Emanuel Cleaver, in Kansas City, Missouri, United States. There were no reports of casualties or property damage in the attack. Police arrested Eric King, whom they describe as an anarchist, in connection with the attack. When arrested, King was found in possession of a letter confessing to the crime, stating that the attack in retaliation to deaths throughout the Middle East and Chile as well as events in Ferguson, Missouri.|1|0|Facility/Infrastructure Attack|Politician or Political Party Movement/Meeting/Rally|Office of Representative: Emanuel Cleaver|Anarchists|An individual, identified as Eric King, claimed responsibility for the incident and stated that he carried out the attack in retaliation to deaths throughout the Middle East and Chile as well as events in Ferguson, Missouri.|Molotov Cocktail/Petrol Bomb|Molotov cocktails were used in the attack.|Minor (likely < $1 million)|An office window was damaged in this attack.|2014-09-11
Pennsylvania|Blooming Grove|41.370121000000005|-75.154073|09/12/2014: An assailant opened fire at state troopers at the barracks in Blooming Grove, Pennsylvania, United States. One trooper was killed and another was wounded in the attack. A lone individual, Eric Frein, claimed responsibility for the incident. In a letter he wrote to his parents, Frein indicated that he was looking to spark a revolution against the government.|1|0|Armed Assault|Police Building (headquarters, station, school)|Blooming Grove Barracks|Anti-Government extremists|"An individual, identified as Eric Frein, claimed responsibility for the incident and stated that he carried out the attack with the intention of bringing about a ""revolution"" in the United States."|Automatic or Semi-Automatic Rifle|A Kalashnikov-style rifle was used in the attack.|||2014-09-12
New York|New York City|40.697132|-73.931351|10/03/2014: Assailants attacked an art gallery in the Chelsea neighborhood of Manhattan, New York City, United States. The assailants defaced a photography exhibit on the conflict in Ukraine, distributed anti-Vladimir Putin leaflets, and assaulted German photojournalist Benjamin Hiller with pepper spray before leaving. No group claimed responsibility for the attack.|1|0|Unarmed Assault|Museum/Cultural Center/Cultural House|Art Gallery|Unknown|The specific motive is unknown; however, sources noted that the assailants left leaflets, criticizing President Vladimir Putin, at the scene of the incident.||Pepper spray and paint were used in the attack.|Minor (likely < $1 million)|A laptop computer and photographs were damaged in this attack.|2014-10-03
New York|New York City|40.697132|-73.931351|10/23/2014: An assailant attacked a police patrol with a hatchet in Queens, New York City, United States. The assailant was killed and two officers and a bystander were wounded in the attack. Zale Thompson, a convert to Islam, was responsible for the incident.|1|0|Armed Assault|Police Patrol (including vehicles and convoys)|Patrol|Jihadi-inspired extremists|"The specific motive is unknown; however, sources noted that the assailant had recently complained of ""injustices"" in the United States (US) on social media."|Knife or Other Sharp Object|A hatchet was used in the attack.|||2014-10-23
New Mexico|Albuquerque|35.068259000000005|-106.62154|10/24/2014: Assailants threw an incendiary device through the window of the Islamic Center of New Mexico in Albuquerque, New Mexico, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Facility/Infrastructure Attack|Place of Worship|Mosque|Anti-Muslim extremists||Molotov Cocktail/Petrol Bomb|A Molotov cocktail was used in the attack.|Minor (likely < $1 million)|A mosque was damaged in this attack.|2014-10-24
Georgia|Roswell|34.012516|-84.35873000000001|11/04/2014: Two explosive devices planted in a backpack were discovered and safely defused at Vickery Creek Park in Roswell, Georgia, United States. An individual, identified as Michael Conrade Sibley, claimed responsibility for the incident and stated that he planted the devices in order to demonstrate that incidents of terrorism can occur anywhere.|0|0|Bombing/Explosion|Public Area (garden, parking lot, garage, beach, public building, camp)|Park|Unknown|An individual, identified as Michael Conrade Sibley, claimed responsibility for the incident and stated that he planted the devices in order to demonstrate that incidents of terrorism can occur anywhere.|Pipe Bomb|Two pipe bombs concealed inside a backpack were used in the attack.|||2014-11-04
California|Coachella|33.693175|-116.18749|11/04/2014: Assailants opened fire on the Islamic Society of Coachella Valley mosque in Coachella, California, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.|1|0|Armed Assault|Place of Worship|Mosque|Unknown||Unknown Gun Type||Minor (likely < $1 million)|A vehicle and the Islamic Society of the Coachella Valley mosque were damaged in this attack.|2014-11-04
Oregon|Pendleton|45.672075|-118.788597|11/23/2014: An explosive device detonated outside a civilian residence in Pendleton, Oregon, United States. Following the blast, assailants then opened fire on the residence. There were no reported casualties in the attack. No group claimed responsibility; however, sources attributed the attack to the United Aryan Empire.|1|0|Bombing/Explosion|House/Apartment/Residence|House|United Aryan Empire||Unknown Explosive Type|An explosive device and a .45-caliber handgun were used in the attack.|Minor (likely < $1 million)|A house was damaged in this attack.|2014-11-23
Texas|Austin|30.283580999999998|-97.698654|11/28/2014: An assailant opened fire on a federal courthouse in Austin, Texas, United States. This was one of three attacks carried out by the same assailant that targeted government and security buildings in the city on the same day. The assailant was shot and killed when police responded, but there were no other casualties reported. No group claimed responsibility for the incidents; however, the deceased assailant was identified as Larry McQuilliams. Sources suspected that the incidents were fueled by anti-government and anti-immigration sentiments.|1|0|Armed Assault|Judge/Attorney/Court|Austin Federal Courthouse|Anti-Government extremists|The specific motive is unknown; however, sources suspected that the attack may have been the result of Larry Steven McQuilliams' anti-government and anti-immigration sentiments.|Automatic or Semi-Automatic Rifle|||It is unknown if any property was damaged in this attack.|2014-11-28
Texas|Austin|30.283580999999998|-97.698654|11/28/2014: An assailant opened fire on police headquarters in Austin, Texas, United States. This was one of three attacks carried out by the same assailant that targeted government and security buildings in the city on the same day. The assailant was shot and killed when police responded, but there were no other casualties reported. No group claimed responsibility for the incidents; however, the deceased assailant was identified as Larry McQuilliams. Sources suspected that the incidents were fueled by anti-government and anti-immigration sentiments.|1|0|Armed Assault|Police Building (headquarters, station, school)|Headquarters|Anti-Government extremists|The specific motive is unknown; however, sources suspected that the attack may have been the result of Larry Steven McQuilliams' anti-government and anti-immigration sentiments.|Automatic or Semi-Automatic Rifle|||It is unknown if any property was damaged in this attack.|2014-11-28
